Dv,MARCA,Material,Descripción,      Amount ,Unit,per,UoM,Empaque Mínimo,ABC Code,División.,Marca.
5I,Industrial,HBLHO-72LU-A2-5K-N-092-CD-WH,Configurado Familia - HBLHO," $1,222.54 ",USD,1,PZ,1 PZ,-,5I,Industrial
5H,Outdoor,FXLK56L,FXL-K-56L, Descontinuado ,USD,1,PZ,1 PZ,M,5H,Outdoor
5I,Industrial,HBLHO-72LU-A2-5K-W-092-ND-GR-C4HL,Configurado Familia - HBLHO," $1,264.08 ",USD,1,PZ,1 PZ,-,5I,Industrial
5I,Industrial,HBLHO-72LU-Y2-5K-N-092-CD-WH,Configurado Familia - HBLHO," $1,346.86 ",USD,1,PZ,1 PZ,-,5I,Industrial
4B,KILLARK,FXS-1C,TUMBL SWITCH  CVR 1P 20A, $329.85 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FXS-21C,"TUMBL SWITCH 3/4"" 1P20A DEAD", $433.50 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FXS-23C,"TUMBL SWITCH 3/4"" 3WAY20A DEAD", $405.77 ,USD,1,PZ,1 PZ,C,4B,KILLARK
5I,Industrial,HBLHO-72LU-Y2-5K-N-092-ND-WH,Configurado Familia - HBLHO," $1,344.94 ",USD,1,PZ,1 PZ,-,5I,Industrial
4B,KILLARK,FXS-3C,TUMBL SWITCH  CVR 3WAY 20A, $348.01 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FXS-51C,"TUMBL SWITCH 3/4"" 1P20A F-THRU", $435.35 ,USD,1,PZ,1 PZ,C,4B,KILLARK
4B,KILLARK,FXS-52C,"TUMBL SWITCH 3/4"" 2P20A F-THRU", $464.94 ,USD,1,PZ,1 PZ,C,4B,KILLARK
4B,KILLARK,FXSX03,CVR SWITCH 1GANG 3P FACT SEAL, $655.39 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5C,Columbia Lighting,HEM4-40HL-DFA-EDU,Configurado Familia - HEM, $346.82 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,HEM4-40HL-RFA-EDU,Configurado Familia - HEM, $336.81 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
